UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
221740,2016,0.44,0.37,0.44,0.37,0.37,0.39,N/A,N/A,N/A,N/A
221759,2016,0.69,0.61,0.69,0.61,0.61,0.61,N/A,N/A,N/A,N/A
221768,2016,0.5,0.43,0.5,0.43,0.45,0.3,0.28,0.32,0.31,0.35
221795,2014-2016,0.58,0.43,0.58,0.43,0.43,N/A,N/A,N/A,N/A,N/A
221847,2016,0.51,0.45,0.51,0.45,0.46,0.44,0.2,0.23,0.2,0.29
221892,2014-2016,0.5,0.21,0.5,0.21,0.18,0.29,N/A,N/A,N/A,N/A
221953,2014-2016,0.38,0.26,0.38,0.26,0.26,0.25,N/A,N/A,N/A,N/A
221971,2014-2016,0.66,0.37,0.66,0.37,0.35,0.47,N/A,N/A,N/A,N/A
222053,2016,0.28,0.21,0.24,0.16,0.14,0.21,0.08,0.1,0.1,0.11
222062,2016,0.3,0.17,0.26,0.12,0.14,0.11,0.07,0.09,0.14,0.04
222105,2014-2016,N/A,N/A,0.72,0.7,0.69,1,N/A,N/A,N/A,N/A
222178,2014-2016,0.62,0.43,0.62,0.43,0.35,0.5,N/A,N/A,N/A,N/A
222567,2014-2016,0.33,0.33,0.2,0.21,0.27,0.19,0.27,0.26,0.26,0.26
222576,2016,0.25,0.23,0.23,0.22,0.08,0.23,0.05,0.04,0.1,0.03
222628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222822,2016,0.21,0.19,0.11,0.11,0.05,0.17,0.2,0.15,0.19,0.1
222831,2016,0.36,0.29,0.36,0.29,0.24,0.31,0.43,0.46,0.54,0.43
222877,2014-2016,0.29,0.23,0.29,0.23,0.13,0.36,N/A,N/A,N/A,N/A
222886,2014-2016,N/A,N/A,0.74,0.78,0.69,0.88,N/A,N/A,N/A,N/A
222938,2014-2016,0.3,0.39,0.3,0.39,0.31,0.43,N/A,N/A,N/A,N/A
222983,2014-2016,0.74,0.66,0.74,0.66,0.44,0.73,N/A,N/A,N/A,N/A
222992,2016,0.29,0.26,0.09,0.09,0.07,0.09,0.39,0.34,0.36,0.34
223001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223083,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223117,2015,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223232,2016,0.74,0.66,0.74,0.66,0.64,0.67,N/A,N/A,N/A,N/A
223320,2014-2016,N/A,N/A,0.21,0.21,0.09,0.21,N/A,N/A,N/A,N/A
223427,2016,0.33,0.3,0.08,0.08,0.07,0.08,0.51,0.46,0.42,0.48
223463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223472,2014-2016,N/A,N/A,0.32,0.34,0.46,0.3,N/A,N/A,N/A,N/A
223506,2015,0.25,0.5,0.25,0.5,N/A,0.5,N/A,N/A,N/A,N/A
223524,2016,0.26,0.25,0.14,0.16,0.05,0.19,0.22,0.18,0.33,0.14
223773,2014-2016,0.23,0.22,0.1,0.09,0.06,0.19,0.25,0.25,0.27,0.18
223898,2014-2016,N/A,N/A,0.14,0.1,0.05,0.12,N/A,N/A,N/A,N/A
223922,2014-2016,0.41,0.3,0.29,0.19,0.17,0.2,0.23,0.21,0.34,0.17
224004,2014-2016,0.37,0.28,0.37,0.28,0.26,0.28,0.48,0.53,0.51,0.54
224110,2016,0.17,0.12,0.12,0.09,0.06,0.1,0.1,0.07,0.1,0.07
224147,2016,0.35,0.32,0.35,0.32,0.39,0.31,0.37,0.41,0.4,0.41
224226,2014-2016,0.57,0.46,0.57,0.46,0.41,0.49,N/A,N/A,N/A,N/A
224244,2014-2016,0.33,0.23,0.33,0.23,0.12,0.3,0.24,0.26,0.31,0.22
224271,2014-2016,N/A,N/A,0.62,0.58,0.61,0.5,N/A,N/A,N/A,N/A
224305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224323,2014-2016,0.69,0.54,0.69,0.54,0.12,0.57,N/A,N/A,N/A,N/A
224350,2016,0.17,0.15,0.11,0.11,0.18,0.1,0.11,0.09,0.09,0.09
224527,2014-2016,0.41,0.29,0.41,0.29,0.2,0.44,0.43,0.49,0.54,0.4
224545,2016,0.26,0.21,0.26,0.21,0.09,0.31,N/A,N/A,N/A,N/A
224554,2014-2016,0.46,0.41,0.46,0.41,0.38,0.48,0.32,0.34,0.36,0.29
224572,2016,0.24,0.24,0.14,0.15,0.08,0.19,0.2,0.19,0.28,0.14
224642,2016,0.24,0.23,0.15,0.15,0.02,0.15,0.17,0.16,0.3,0.16
