College Name,City,State,ZipCode,Selectivity,file_name
East Tennessee State University,Johnson City,TN,37614,COMPETITIVE,searchpage-profile.cfm_1389.html
Simpson University,Redding,CA,96003,COMPETITIVE,searchpage-profile.cfm_139.html
Fisk University,Nashville,TN,37208,LESS COMPETITIVE,searchpage-profile.cfm_1390.html
Freed-Hardeman University,Henderson,TN,38340,COMPETITIVE,searchpage-profile.cfm_1391.html
King University,Bristol,TN,37620,COMPETITIVE,searchpage-profile.cfm_1392.html
Lane College,Jackson,TN,38301,COMPETITIVE,searchpage-profile.cfm_1395.html
Lee University,Cleveland,TN,37320,COMPETITIVE,searchpage-profile.cfm_1396.html
LeMoyne-Owen College,Memphis,TN,38126,COMPETITIVE,searchpage-profile.cfm_1397.html
Lincoln Memorial University,Harrogate,TN,37752,COMPETITIVE,searchpage-profile.cfm_1398.html
Maryville College,Maryville,TN,37804,COMPETITIVE,searchpage-profile.cfm_1399.html
Memphis College of Art,Memphis,TN,38104,COMPETITIVE,searchpage-profile.cfm_1400.html
Middle Tennessee State University,Murfreesboro,TN,37132,COMPETITIVE,searchpage-profile.cfm_1401.html
Milligan College,Milligan College,TN,37682,COMPETITIVE,searchpage-profile.cfm_1402.html
Rhodes College,Memphis,TN,38112,HIGHLY COMPETITIVE,searchpage-profile.cfm_1403.html
Southern Adventist University,Collegedale,TN,37315,COMPETITIVE,searchpage-profile.cfm_1404.html
Tennessee State University,Nashville,TN,37209,COMPETITIVE,searchpage-profile.cfm_1406.html
Tennessee Technological University,Cookeville,TN,38505,COMPETITIVE,searchpage-profile.cfm_1407.html
Trevecca Nazarene University,Nashville,TN,37210,COMPETITIVE,searchpage-profile.cfm_1408.html
Tusculum College,Greeneville,TN,37743,COMPETITIVE,searchpage-profile.cfm_1409.html
Thomas Aquinas College,Santa Paula,CA,93060,HIGHLY COMPETITIVE,searchpage-profile.cfm_141.html
Union University,Jackson,TN,38305,VERY COMPETITIVE,searchpage-profile.cfm_1410.html
University of Memphis,Memphis,TN,38152,COMPETITIVE,searchpage-profile.cfm_1411.html
The University of Tennessee at Chattanooga,Chattanooga,TN,37403,COMPETITIVE,searchpage-profile.cfm_1413.html
The University of Tennessee at Knoxville,Knoxville,TN,37996,VERY COMPETITIVE,searchpage-profile.cfm_1414.html
The University of Tennessee at Martin,Martin,TN,38238,COMPETITIVE,searchpage-profile.cfm_1415.html
Sewanee: The University of the South,Sewanee,TN,37383,MOST COMPETITIVE,searchpage-profile.cfm_1416.html
Vanderbilt University,Nashville,TN,37203,MOST COMPETITIVE,searchpage-profile.cfm_1417.html
Abilene Christian University,Abilene,TX,79699,COMPETITIVE+,searchpage-profile.cfm_1418.html
Angelo State University,San Angelo,TX,76909,NON COMPETITIVE,searchpage-profile.cfm_1419.html
Stanford University,Stanford,CA,94305,MOST COMPETITIVE,searchpage-profile.cfm_142.html
Austin College,Sherman,TX,75090,VERY COMPETITIVE,searchpage-profile.cfm_1420.html
Baylor University,Waco,TX,76798,HIGHLY COMPETITIVE,searchpage-profile.cfm_1421.html
Concordia University Texas,Austin,TX,78705,COMPETITIVE,searchpage-profile.cfm_1423.html
Dallas Baptist University,Dallas,TX,75211,COMPETITIVE,searchpage-profile.cfm_1424.html
East Texas Baptist University,Marshall,TX,75670,COMPETITIVE,searchpage-profile.cfm_1426.html
Hardin-Simmons University,Abilene,TX,79698,COMPETITIVE,searchpage-profile.cfm_1427.html
Houston Baptist University,Houston,TX,77074,COMPETITIVE,searchpage-profile.cfm_1428.html
Howard Payne University,Brownwood,TX,76801,COMPETITIVE,searchpage-profile.cfm_1429.html
Scripps College,Claremont,CA,91711,MOST COMPETITIVE,searchpage-profile.cfm_143.html
Huston-Tillotson University,Austin,TX,78702,LESS COMPETITIVE,searchpage-profile.cfm_1430.html
Jarvis Christian College,Hawkins,TX,75765,NONCOMPETITIVE,searchpage-profile.cfm_1431.html
Lamar University,Beaumont,TX,77710,LESS COMPETITIVE,searchpage-profile.cfm_1432.html
LeTourneau University,Longview,TX,75607,VERY COMPETITIVE,searchpage-profile.cfm_1433.html
Lubbock Christian University,Lubbock,TX,79407,COMPETITIVE,searchpage-profile.cfm_1434.html
McMurry University,Abilene,TX,79697,LESS COMPETITIVE,searchpage-profile.cfm_1435.html
Midwestern State University,Wichita Falls,TX,76308,COMPETITIVE,searchpage-profile.cfm_1436.html
Northwood University - Texas,Cedar Hill,TX,75104,LESS COMPETITIVE,searchpage-profile.cfm_1437.html
Our Lady of the Lake University,San Antonio,TX,78207,LESS COMPETITIVE,searchpage-profile.cfm_1438.html
Paul Quinn College,Dallas,TX,75241,LESS COMPETITIVE,searchpage-profile.cfm_1439.html
University of California at Davis,Davis,CA,95616,HIGHLY COMPETITIVE,searchpage-profile.cfm_144.html
Prairie View A&M University,Prairie View,TX,77446,LESS COMPETITIVE,searchpage-profile.cfm_1440.html
Rice University,Houston,TX,77251,MOST COMPETITIVE,searchpage-profile.cfm_1441.html
St. Edward's University,Austin,TX,78704,VERY COMPETITIVE,searchpage-profile.cfm_1442.html
St. Mary's University,San Antonio,TX,78228,COMPETITIVE,searchpage-profile.cfm_1443.html
Sam Houston State University,Huntsville,TX,77341,COMPETITIVE,searchpage-profile.cfm_1444.html
Schreiner University,Kerrville,TX,78028,LESS COMPETITIVE,searchpage-profile.cfm_1445.html
Southern Methodist University,Dallas,TX,75275,MOST COMPETITIVE,searchpage-profile.cfm_1446.html
Texas State University,San Marcos,TX,78666,COMPETITIVE,searchpage-profile.cfm_1447.html
Southwestern Adventist University,Keene,TX,76059,LESS COMPETITIVE,searchpage-profile.cfm_1448.html
Southwestern University,Georgetown,TX,78626,VERY COMPETITIVE,searchpage-profile.cfm_1450.html
Stephen F. Austin State University,Nacogdoches,TX,75962,LESS COMPETITIVE,searchpage-profile.cfm_1451.html
Sul Ross State University,Alpine,TX,79832,LESS COMPETITIVE,searchpage-profile.cfm_1452.html
Tarleton State University,Stephenville,TX,76402,LESS COMPETITIVE,searchpage-profile.cfm_1453.html
Texas A&M University,College Station,TX,77843,VERY COMPETITIVE+,searchpage-profile.cfm_1455.html
Texas A&M University at Commerce,Commerce,TX,75429,COMPETITIVE,searchpage-profile.cfm_1456.html
Texas A&M University at Galveston,Galveston,TX,77553,COMPETITIVE,searchpage-profile.cfm_1457.html
Texas A&M University at Kingsville,Kingsville,TX,78363,LESS COMPETITIVE,searchpage-profile.cfm_1458.html
University of California at Berkeley,Berkeley,CA,94720,MOST COMPETITIVE,searchpage-profile.cfm_146.html
